song_id,album_id,track_number,release_date,release_date_precision,song_name,popularity_song,explicit,song_type,artist_id,name,followers,popularity_artist,artist_type,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,main_genre
0ESJlaM8CE1jRWaNtwSNj8,42WVQWuf1teDysXiOupIZt,5,16.09.16,day,beibs in the trap,69,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,213863,7,0,4,0.24,0.743,0.571,0,0.291,-6.054,0.145,0.495,119.054,pop
1wHZx0LgzFHyeIZkUydNXq,4PWBTB6NYSKQwfo79I3prg,9,04.09.15,day,Antidote,73,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,262693,1,1,4,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,0.131,131.05,pop
1rqqCSm0Qe4I9rUvWncaom,6ApYSpXF8GxZAgBTHDzYge,4,22.06.18,day,High Hopes,86,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,190947,5,1,4,0.193,0.579,0.904,0,0.064,-2.729,0.0618,0.681,82.014,baroque pop
76vMKwFtdDDCLcM6zXybjB,6ApYSpXF8GxZAgBTHDzYge,2,22.06.18,day,Say Amen (Saturday Night),70,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,189187,6,0,4,0.167,0.491,0.867,0,0.458,-2.313,0.103,0.602,167.965,baroque pop
6od5hFv9IT5JHc7NEF9HRv,6twKQ0EsUJHVlAr6XBylrj,1,15.01.16,day,Victorious,67,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,178600,8,1,4,0.00205,0.57,0.865,0,0.404,-4.518,0.0472,0.691,110.01,baroque pop
3px2rAPu74ltbkf9eZsZ8h,6twKQ0EsUJHVlAr6XBylrj,4,15.01.16,day,Emperor`s New Clothes,70,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,158667,1,1,4,0.00302,0.562,0.904,0,0.0433,-4.947,0.0807,0.651,94.481,baroque pop
1BECwm5qkaBwlbfo4kpYx8,6twKQ0EsUJHVlAr6XBylrj,5,15.01.16,day,Death of a Bachelor,73,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,203507,0,1,4,0.0137,0.462,0.538,0,0.429,-5.527,0.059,0.405,139.256,baroque pop
6TzJLISIitIzn1WtjDY0Op,6twKQ0EsUJHVlAr6XBylrj,3,15.01.16,day,Hallelujah,64,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,180627,11,1,4,0.011,0.578,0.886,0,0.143,-4.348,0.0633,0.615,80.008,baroque pop
3yZQk5PC52CCmT4ZaTIKvv,1hxraaWEf3wFnJxADf8Dge,1,04.10.13,day,This Is Gospel,71,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,187187,7,1,4,0.00155,0.572,0.912,0.0000012,0.102,-4.875,0.0707,0.606,156.073,baroque pop
5rLi8B8qgk6qThwRnKHW2P,5S0nsfYhHa1uz10V4yoWSL,1,18.03.11,day,The Ballad of Mona Lisa,66,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,226680,9,0,4,0.000362,0.436,0.893,0,0.103,-4.18,0.0556,0.0794,124.113,baroque pop
5cY8y2XgOfkAh4kSWLFKkz,01hp4DvayKlnqUQrmk0vvz,10,27.09.05,day,I Write Sins Not Tragedies,71,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,185587,9,0,4,0.0737,0.566,0.815,0,0.12,-4.481,0.14,0.672,169.961,baroque pop
4E89wfYbGzoNolObrFhoG4,01hp4DvayKlnqUQrmk0vvz,2,27.09.05,day,The Only Difference Between Martyrdom and Suicide Is Press Coverage,49,FALSE,Solo,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,7749228,88,band,177520,6,0,4,0.0533,0.501,0.941,0,0.358,-3.487,0.199,0.69,170.062,baroque pop
0bYg9bo50gSsH3LtXe2SQn,61ulfFSmmxMhc2wCdmdMkN,2,01.11.94,day,All I Want for Christmas Is You,63,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,241107,7,1,4,0.164,0.335,0.625,0,0.0708,-7.462,0.0386,0.346,150.277,dance pop
7IzurnmQLvZmMDJcpITUyt,6kRdK7cPgLqNfSoI7AMlyj,19,2015,year,Infinity,41,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,239800,1,1,4,0.0434,0.552,0.814,0.00000485,0.255,-4.302,0.0804,0.21,134.806,dance pop
08jigv9h0106ub1niAgZzs,47voGlgRLcSe9VVO4K4IQa,7,27.05.14,day,You`re Mine (Eternal),35,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,224107,2,1,4,0.277,0.629,0.58,0,0.38,-7.233,0.0692,0.557,148.956,dance pop
5EGPf0nqO7vEIwsOX6Er98,0an7K6LfvYERpVviYMUFp0,2,01.01.09,day,Obsessed,70,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,242200,10,0,4,0.0453,0.63,0.48,0,0.832,-5.502,0.144,0.427,172.887,dance pop
4ttCCNTaRSKmgFYOmNQzsO,0an7K6LfvYERpVviYMUFp0,17,01.01.09,day,I Want To Know What Love Is,50,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,207133,6,1,4,0.122,0.59,0.441,0,0.226,-6.128,0.0342,0.271,79.989,dance pop
4s1wyVl4E5rmb2nrmFBosf,0an7K6LfvYERpVviYMUFp0,9,01.01.09,day,Up Out My Face,33,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,221240,10,1,4,0.0995,0.842,0.543,0,0.0548,-5.272,0.293,0.827,146.984,dance pop
1TT6pwOM1puBtx8bYSMTBA,2UYie72CXeuwIB7YepDidw,1,01.01.02,day,Through The Rain,50,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,288640,8,1,4,0.759,0.508,0.318,0,0.184,-9.911,0.0365,0.141,122.04,dance pop
3RSpK5Y0y5tl25qvssrwJ6,7aDBFWp72Pz4NZEtVBANi9,3,03.09.97,day,My All,59,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,230933,7,0,4,0.732,0.4,0.317,0.0000503,0.086,-10.249,0.0317,0.108,107.845,dance pop
5NaOWLOmVjcA3M5spRATN9,7aDBFWp72Pz4NZEtVBANi9,1,03.09.97,day,Honey,59,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,299827,1,1,4,0.118,0.694,0.823,0.00000711,0.152,-6.755,0.0917,0.683,95.83,dance pop
2aBxt229cbLDOvtL7Xbb9x,1ibYM4abQtSVQFQWvDSo4J,5,26.09.95,day,Always Be My Baby,71,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,258133,4,1,4,0.457,0.649,0.531,0,0.249,-8.335,0.0363,0.488,78.946,dance pop
